unitid,insname,lat,long,endow1,endow2,enroll
177834,A T Still University of Health Sciences,40.193648,-92.589183,87668443,90384866,3357
222178,Abilene Christian University,32.46915,-99.70954,370426298,382839788,4544
451079,Academy for Five Element Acupuncture,29.650075,-82.321994,,,57
457271,Academy for Jewish Religion-California,34.06089,-118.293261,100000,85000,64
108269,Academy of Chinese Culture and Health Sciences,37.806662,-122.272733,,,136
210508,Academy of Vocal Arts,39.947863,-75.173683,,,28
384306,Acupuncture and Integrative Medicine College-Berkeley,37.862754,-122.267636,,,105
188429,Adelphi University,40.721439,-73.653321,174477346,165664071,7256
374024,Adler Graduate School,44.862865,-93.252532,,,311
142832,Adler University,41.88232,-87.628651,80000,81200,988
168528,Adrian College,41.898449,-84.059947,32027537,31441157,1715
133872,Adventist University of Health Sciences,28.576142,-81.367687,6896789,7120986,1984
138600,Agnes Scott College,33.769996,-84.29563,272331405,261455879,902
152822,AIB College of Business,41.561953,-93.645694,,,348
483975,Alabama College of Osteopathic Medicine,31.206182,-85.340726,,,460
102580,Alaska Bible College,61.59843,-149.111341,57605,48721,33
102669,Alaska Pacific University,61.191235,-149.804242,103679684,88911394,516
188526,Albany College of Pharmacy and Health Sciences,42.652559,-73.778132,38615529,40499118,1482
188535,Albany Law School,42.651264,-73.777692,70016775,66809503,414
188580,Albany Medical College,42.653178,-73.773975,99213964,102920806,822
128498,Albertus Magnus College,41.332519,-72.923848,6474325,6799067,1515
168546,Albion College,42.244603,-84.746088,187707113,181488489,1376
210571,Albright College,40.360248,-75.910152,64423254,65568547,2267
237118,Alderson Broaddus University,39.158067,-80.047728,5381351,5137746,1154
188641,Alfred University,42.255866,-77.788625,108873666,107966345,2286
156189,Alice Lloyd College,37.335087,-82.875068,35791310,37046188,616
210669,Allegheny College,41.648068,-80.146922,184693333,183134080,1931
200873,Allegheny Wesleyan College,40.867236,-80.860091,0,183662,63
152798,Allen College,42.531427,-92.338018,2601700,5656103,611
217624,Allen University,34.010348,-81.020045,312884,312884,625
168591,Alma College,43.379236,-84.670073,116462048,114761906,1385
210775,Alvernia University,40.3102,-75.938163,22835679,22407663,2856
238193,Alverno College,42.983518,-87.965498,25317427,25425125,2209
222628,Amberton University,32.859937,-96.653028,32159898,34374233,1379
142887,American Academy of Art,41.877824,-87.624396,,,317
219505,American Baptist College,36.201155,-86.789301,2101146,1768207,157
108861,American Baptist Seminary of the West,37.865252,-122.256149,5297847,5326844,73
210809,American College of Financial Services,40.018084,-75.326655,49808426,52954618,16764
430591,American College of Traditional Chinese Medicine,37.760503,-122.398242,,,462
109086,American Conservatory Theater,37.787326,-122.404945,25302449,24971547,46
108870,American Film Institute Conservatory,34.10846,-118.309989,10850942,12099523,328
103787,American Indian College Inc,33.577738,-112.092247,110366,5000,99
164447,American International College,42.112708,-72.558507,15195268,15500858,3539
142957,AMERICAN ISLAMIC COLLEGE,41.95494,-87.646781,68500,49036,53
116846,American Jewish University,34.128099,-118.471764,22962937,22559067,174
188854,American Musical and Dramatic Academy,40.780142,-73.982249,,,1509
131159,American University,38.937802,-77.090106,546000000,590000000,13198
164465,Amherst College,42.372459,-72.518493,2149202662,2193510735,1795
100690,Amridge University,32.362609,-86.17401,174804,174805,627
151865,Anabaptist Mennonite Biblical Seminary,41.656093,-85.972222,17157080,17427621,102
217633,Anderson University,34.515506,-82.640205,40530638,41155422,3212
150066,Anderson University,40.112167,-85.662292,29581000,31276000,2325
164474,Andover Newton Theological School,42.324729,-71.189586,19918038,19109119,234
168740,Andrews University,41.962914,-86.356866,43059109,52308442,3366
164492,Anna Maria College,42.33055,-71.918961,3535889,4266443,1451
483018,Antioch College,39.800282,-83.889793,45301265,44420928,266
485908,Antioch University Online,39.803281,-83.905864,,,154
245838,Antioch University-Los Angeles,33.98764,-118.384651,,,988
245892,Antioch University-Midwest,39.795828,-83.892094,,,180
245865,Antioch University-New England,42.932344,-72.293798,,,731
442392,Antioch University-PhD Program in Leadership and Change,39.80278,-83.908261,,,147
245847,Antioch University-Santa Barbara,34.419007,-119.695767,,,423
245883,Antioch University-Seattle,47.61696,-122.342647,,,656
441511,Apex School of Theology,35.92314,-78.841041,,,1151
237136,Appalachian Bible College,37.853339,-81.20115,1487251,1527135,281
449922,Appalachian College of Pharmacy,37.211496,-82.005227,593703,632477,202
432348,Appalachian School of Law,37.278007,-82.096426,4571257,4226270,109
168786,Aquinas College,42.960449,-85.626166,33268080,38163133,1894
219578,Aquinas College,36.132187,-86.844214,15990168,16490976,384
176600,Aquinas Institute of Theology,38.635008,-90.237365,,,128
211088,Arcadia University,40.091941,-75.165205,68878000,67727000,3984
105899,Arizona Christian University,33.595117,-112.026211,1928167,1896178,779
106306,Arkansas Baptist College,34.734751,-92.290555,,,990
488527,Arkansas Colleges of Health Education,,,,,
222877,Arlington Baptist College,32.739543,-97.155661,,,204
201061,Art Academy of Cincinnati,39.108382,-84.497573,1638932,1737990,207
109651,Art Center College of Design,34.170844,-118.186901,85148000,87010000,2133
156222,Asbury Theological Seminary,37.863704,-84.661862,153104603,152464386,1540
156213,Asbury University,37.862029,-84.662606,42038629,43429283,1915
201104,Ashland University,40.860987,-82.320621,46653132,46425166,5677
176619,Assemblies of God Theological Seminary,37.224401,-93.26151,2317147,2452890,323
164562,Assumption College,42.295435,-71.828387,100767113,101064350,2675
201140,Athenaeum of Ohio,39.084199,-84.375556,22486707,23773823,209
439446,Atlantic Institute of Oriental Medicine,26.121964,-80.142235,,,158
173045,Augsburg College,44.965636,-93.241418,38330460,40463556,3458
143084,Augustana College,41.500326,-90.552402,144373484,145454127,2478
219000,Augustana University,43.525939,-96.738507,66548932,67218931,1837
201177,Aultman College of Nursing and Health Sciences,40.796865,-81.404182,1213634,1283039,372
143118,Aurora University,41.754465,-88.349469,46016920,45435661,5423
222983,Austin College,33.646307,-96.598772,135768645,134745638,1255
247825,Austin Graduate School of Theology,30.343788,-97.711706,4413139,4214421,44
223001,Austin Presbyterian Theological Seminary,30.292635,-97.737752,120370706,122062406,159
442295,Ave Maria School of Law,26.24209,-81.731045,556032,218305,269
446048,Ave Maria University,26.33711,-81.441082,2147586,2443711,1110
231420,Averett University,36.577273,-79.413214,23649118,23234693,878
449931,Averett University-Non-Traditional Programs,36.577257,-79.413195,,,991
176628,Avila University,38.912159,-94.591387,8939255,9213100,1885
109785,Azusa Pacific University,34.130865,-117.88795,58088961,60728807,9975
474863,Azusa Pacific University College,34.11062,-117.827131,,,1515
164580,Babson College,42.296529,-71.269479,332014635,348628929,3057
206817,Bacone College,35.77707,-95.335337,7274319,7282627,839
128586,Bais Binyomin Academy,41.059922,-73.534604,,,55
476601,Bais HaMedrash and Mesivta of Baltimore,39.37968,-76.674591,,,58
245777,Bais Medrash Elyon,40.6275,-73.973431,,,98
449658,Bais Medrash Toras Chesed,40.099704,-74.21127,,,104
168847,Baker College,42.974764,-83.694679,250089144,257412070,23790
154688,Baker University,38.777278,-95.188231,39020664,37887302,2689
420705,Bakke Graduate University,32.89439,-96.753831,,,174
201195,Baldwin Wallace University,41.373938,-81.849112,141409711,155728404,3996
189015,Bank Street College of Education,40.805604,-73.966643,25588092,26799591,650
176664,Baptist Bible College,37.239731,-93.285385,157199,164949,401
219639,Baptist Memorial College of Health Sciences,35.138415,-90.027501,24703349,33227663,1079
223117,Baptist Missionary Association Theological Seminary,31.976958,-95.252385,1224736,1199516,133
366793,Baptist Theological Seminary at Richmond,37.63249,-77.468501,4144858,3993859,70
444398,Baptist University of the Americas,29.346868,-98.545169,3175855,3199168,195
155070,Barclay College,37.620691,-99.104027,1924430,2739069,273
189088,Bard College,42.021803,-73.906243,157263726,157293603,2332
167792,Bard College at Simon's Rock,42.209241,-73.380008,10925069,8541581,329
189097,Barnard College,40.809137,-73.964027,282048000,296517000,2548
177719,Barnes-Jewish College Goldfarb School of Nursing,38.636881,-90.260648,27249666,28136151,654
132471,Barry University,25.878865,-80.196136,34517341,36195517,7971
197911,Barton College,35.735463,-77.913805,28720632,27833432,1047
235547,Bastyr University,47.729935,-122.251708,3287398,3303731,1264
160977,Bates College,44.105299,-70.203333,263892125,261501358,1792
164632,Bay Path University,42.055364,-72.583974,40865240,41457507,3107
223223,Baylor College of Medicine,29.7106,-95.395743,988247389,1062671426,1572
223232,Baylor University,31.545956,-97.119359,1151201000,1165550000,16787
476717,Be'er Yaakov Talmudic Seminary,41.139404,-74.028483,,,469
384254,Beacon College,28.810799,-81.875619,56217,71000,274
164720,Becker College,42.26918,-71.811895,4591549,4585364,2153
444413,Beis Medrash Heichal Dovid,40.596827,-73.751509,,,125
175421,Belhaven University,32.318415,-90.169228,5761696,5863329,4450
156286,Bellarmine University,38.219138,-85.7049,52998138,54332846,3846
180814,Bellevue University,41.150225,-95.91764,71206059,74141672,9760
238324,Bellin College,44.468277,-87.921722,9695985,10151773,371
197984,Belmont Abbey College,35.261276,-81.041847,9028215,9200732,1495
219709,Belmont University,36.133866,-86.794715,101828642,107827318,7350
238333,Beloit College,42.50363,-89.03147,130761615,145348605,1358
217721,Benedict College,34.011285,-81.021412,21826278,22126665,2465
154712,Benedictine College,39.572953,-95.111424,20949831,22508926,2189
145619,Benedictine University,41.776395,-88.095948,,,5954
197993,Bennett College,36.067531,-79.77998,11813469,12022770,583
230816,Bennington College,42.92004,-73.237498,17892664,17141596,801
164739,Bentley University,42.388798,-71.220148,268048000,265345000,5552
156295,Berea College,37.573334,-84.289332,1137222000,1101475900,1643
461643,Bergin University of Canine Studies,38.35375,-122.720721,,,61
164748,Berklee College of Music,42.346895,-71.08703,321453450,327745268,5289
139144,Berry College,34.289254,-85.189077,925698267,887981093,2245
485999,Bet Medrash Gadol Ateret Torah,40.607697,-73.969717,,,124
189273,Beth Hamedrash Shaarei Yosher Institute,40.635503,-73.981088,,,44
189264,Beth Hatalmud Rabbinical College,40.605394,-73.993039,,,25
183804,Beth Medrash Govoha,40.095461,-74.220777,13961672,14933533,6579
486196,Beth Medrash Meor Yitzchok,41.10067,-74.060831,,,162
488314,Beth Medrash of Asbury Park,,,,,
154721,Bethany College,38.5786,-97.673173,12118775,4426360,699
237181,Bethany College,40.20567,-80.560896,49834976,46724838,737
486284,Bethany Global University,44.79777,-93.372331,,,179
173142,Bethany Lutheran College,44.166485,-93.990744,43155718,43004782,524
143233,Bethany Theological Seminary,39.8265,-84.9099,36850944,36981348,53
458113,Bethel College,37.04095,-76.409141,23076,24457,58
150145,Bethel College-Indiana,41.677671,-86.191642,10369370,10369946,1719
154749,Bethel College-North Newton,38.07525,-97.342572,17296851,17205090,525
262022,Bethel Seminary-San Diego,32.765189,-117.066378,,,176
173179,Bethel Seminary-St Paul,45.058775,-93.159786,,,384
219718,Bethel University,36.139271,-88.516162,3233407,3230396,5951
173160,Bethel University,45.057091,-93.159295,28415043,31518883,3952
110060,Bethesda University,33.842295,-117.941323,,,364
486053,Bethlehem College & Seminary,44.96915,-93.255411,30000,31250,191
132602,Bethune-Cookman University,29.210193,-81.031429,53543296,54718740,3831
139153,Beulah Heights University,33.737022,-84.358086,,,701
